Software Version            : FRANz 1.2.3
Dataset                     : TESTTREES
Time of Data Analysis       : Fri Mar 10 14:45:34 2023


*** MCMC Parameters ***

Seed                         : 1678488332
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 899
  Initial temperature c0     : 69.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 170
  Nmmax                      : 170

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |        162 |     434057 |   -187.404 |   -233.181 |   13.061 |    3.057 |  0.49 |   1.928 |   1.928 |      0 |
 |        163 |     436753 |   -187.404 |   -238.042 |   12.390 |    3.035 |  0.49 |   3.644 |   3.644 |      0 |
 |        164 |     439449 |   -187.404 |   -229.038 |   12.084 |    3.011 |  0.50 |   1.948 |   1.948 |      0 |
 |        165 |     442145 |   -187.404 |   -230.801 |   14.481 |    2.988 |  0.49 |   2.904 |   2.904 |      0 |
 |        166 |     444841 |   -187.404 |   -232.635 |   11.516 |    2.968 |  0.50 |   1.016 |   1.016 |      0 |
 |        167 |     447537 |   -187.404 |   -236.465 |   12.746 |    2.944 |  0.48 |   1.531 |   1.531 |      0 |
 |        168 |     450233 |   -187.404 |   -227.284 |   14.246 |    2.923 |  0.48 |   2.746 |   2.746 |      0 |
 |        169 |     452929 |   -187.404 |   -240.074 |   16.690 |    2.904 |  0.50 |   1.103 |   1.103 |      0 |
 |        170 |     455625 |   -187.404 |   -229.243 |   14.205 |    2.888 |  0.49 |   0.723 |   0.723 |      0 |
 |        171 |     458321 |   -187.404 |   -230.488 |   10.816 |    2.869 |  0.49 |   3.310 |   3.310 |      0 |
 |        172 |     461017 |   -187.404 |   -229.490 |   11.930 |    2.845 |  0.49 |   0.878 |   0.878 |      0 |
 |        173 |     463713 |   -187.404 |   -225.349 |   10.608 |    2.824 |  0.48 |   3.869 |   3.869 |      0 |
 |        174 |     466409 |   -187.404 |   -230.256 |   15.286 |    2.800 |  0.48 |   3.817 |   3.817 |      0 |
 |        175 |     469105 |   -187.404 |   -228.953 |   13.770 |    2.784 |  0.49 |   1.389 |   1.389 |      0 |
 |        176 |     471801 |   -187.404 |   -227.151 |   14.906 |    2.766 |  0.50 |   0.902 |   0.902 |      0 |
 |        177 |     474497 |   -187.404 |   -228.059 |   10.471 |    2.750 |  0.48 |   2.645 |   2.645 |      0 |
 |        178 |     477193 |   -187.404 |   -222.418 |   14.383 |    2.727 |  0.46 |   2.922 |   2.922 |      0 |
 |        179 |     479889 |   -187.404 |   -234.777 |   14.928 |    2.711 |  0.48 |   1.335 |   1.335 |      0 |
 |        180 |     482585 |   -187.404 |   -233.698 |    9.803 |    2.695 |  0.47 |   3.378 |   3.378 |      0 |
 |        181 |     485281 |   -180.639 |   -221.929 |   15.184 |    2.672 |  0.48 |   2.572 |   2.572 |      0 |
 |        182 |     487977 |   -180.639 |   -222.127 |   15.497 |    2.657 |  0.48 |   2.142 |   2.142 |      0 |
 |        183 |     490673 |   -180.639 |   -224.414 |   12.484 |    2.643 |  0.46 |   3.584 |   3.584 |      0 |
 |        184 |     493369 |   -180.639 |   -227.275 |   19.546 |    2.625 |  0.49 |   3.374 |   3.374 |      0 |
 |        185 |     496065 |   -180.639 |   -215.401 |   13.212 |    2.614 |  0.46 |   2.183 |   2.183 |      0 |
 |        186 |     498761 |   -180.639 |   -226.558 |   15.355 |    2.598 |  0.44 |   1.260 |   1.260 |      0 |
 |        187 |     501457 |   -180.639 |   -230.168 |   14.409 |    2.584 |  0.48 |   2.930 |   2.930 |      0 |
 |        188 |     504153 |   -180.639 |   -218.395 |   16.733 |    2.569 |  0.45 |   3.329 |   3.329 |      0 |
 |        189 |     506849 |   -180.639 |   -224.649 |    9.459 |    2.557 |  0.47 |   3.515 |   3.515 |      0 |
 |        190 |     509545 |   -180.639 |   -225.688 |   15.328 |    2.535 |  0.44 |   0.638 |   0.638 |      0 |
