Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:51:38 2023


*** MCMC Parameters ***

Seed                         : 1680727897
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 1557
  Initial temperature c0     : 70.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 269
  Nmmax                      : 269

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |        128 |     593091 |   -329.484 |   -397.957 |   23.444 |    5.127 |  0.58 |   1.911 |   1.911 |      0 |
 |        129 |     597761 |   -329.484 |   -392.929 |   24.118 |    5.092 |  0.57 |   1.367 |   1.367 |      0 |
 |        130 |     602431 |   -305.552 |   -380.724 |   32.500 |    5.058 |  0.58 |   1.836 |   1.836 |      0 |
 |        131 |     607101 |   -305.552 |   -391.900 |   20.214 |    5.033 |  0.58 |   1.248 |   1.248 |      0 |
 |        132 |     611771 |   -305.552 |   -396.988 |   22.032 |    4.994 |  0.57 |   2.034 |   2.034 |      0 |
 |        133 |     616441 |   -305.552 |   -397.335 |   21.998 |    4.958 |  0.56 |   1.952 |   1.952 |      0 |
 |        134 |     621111 |   -305.552 |   -392.616 |   22.201 |    4.923 |  0.56 |   3.848 |   3.848 |      0 |
 |        135 |     625781 |   -305.552 |   -393.227 |   19.237 |    4.888 |  0.55 |   1.778 |   1.778 |      0 |
 |        136 |     630451 |   -305.552 |   -390.629 |   26.836 |    4.849 |  0.56 |   1.990 |   1.990 |      0 |
 |        137 |     635121 |   -305.552 |   -395.159 |   19.686 |    4.821 |  0.57 |   1.690 |   1.690 |      0 |
 |        138 |     639791 |   -305.552 |   -384.874 |   19.008 |    4.784 |  0.56 |   2.224 |   2.224 |      0 |
 |        139 |     644461 |   -305.552 |   -389.001 |   26.614 |    4.746 |  0.55 |   3.209 |   3.209 |      0 |
 |        140 |     649131 |   -305.552 |   -380.513 |   19.676 |    4.720 |  0.55 |   3.068 |   3.068 |      0 |
 |        141 |     653801 |   -305.552 |   -383.915 |   22.428 |    4.684 |  0.55 |   2.340 |   2.340 |      0 |
 |        142 |     658471 |   -305.552 |   -381.760 |   22.366 |    4.653 |  0.55 |   3.695 |   3.695 |      0 |
 |        143 |     663141 |   -305.552 |   -374.794 |   15.580 |    4.622 |  0.56 |   0.624 |   0.624 |      0 |
 |        144 |     667811 |   -305.552 |   -385.156 |   19.307 |    4.579 |  0.55 |   3.277 |   3.277 |      0 |
 |        145 |     672481 |   -305.552 |   -369.961 |   23.373 |    4.545 |  0.55 |   1.829 |   1.829 |      0 |
 |        146 |     677151 |   -305.552 |   -380.066 |   15.048 |    4.517 |  0.55 |   3.831 |   3.831 |      0 |
 |        147 |     681821 |   -305.552 |   -383.240 |   23.111 |    4.474 |  0.55 |   0.644 |   0.644 |      0 |
 |        148 |     686491 |   -305.552 |   -373.116 |   14.406 |    4.447 |  0.55 |   1.284 |   1.284 |      0 |
 |        149 |     691161 |   -305.552 |   -378.584 |   21.382 |    4.404 |  0.54 |   1.162 |   1.162 |      0 |
 |        150 |     695831 |   -305.552 |   -378.635 |   18.929 |    4.375 |  0.56 |   3.981 |   3.981 |      0 |
 |        151 |     700501 |   -305.552 |   -389.219 |   19.354 |    4.343 |  0.54 |   2.512 |   2.512 |      0 |
 |        152 |     705171 |   -305.552 |   -378.639 |   17.313 |    4.313 |  0.53 |   3.733 |   3.733 |      0 |
 |        153 |     709841 |   -305.552 |   -386.825 |   21.467 |    4.279 |  0.55 |   2.715 |   2.715 |      0 |
 |        154 |     714511 |   -305.552 |   -373.905 |   16.430 |    4.252 |  0.54 |   1.323 |   1.323 |      0 |
 |        155 |     719181 |   -305.552 |   -381.151 |   18.065 |    4.217 |  0.54 |   2.674 |   2.674 |      0 |
 |        156 |     723851 |   -305.552 |   -384.664 |   26.401 |    4.186 |  0.55 |   1.721 |   1.721 |      0 |
 |        157 |     728521 |   -305.552 |   -389.803 |   17.043 |    4.165 |  0.55 |   1.431 |   1.431 |      0 |
 |        158 |     733191 |   -305.552 |   -376.956 |   24.950 |    4.133 |  0.54 |   2.763 |   2.763 |      0 |
 |        159 |     737861 |   -305.552 |   -372.527 |   17.038 |    4.111 |  0.54 |   2.416 |   2.416 |      0 |
 |        160 |     742531 |   -305.552 |   -372.082 |   18.089 |    4.080 |  0.53 |   3.585 |   3.585 |      0 |
 |        161 |     747201 |   -305.552 |   -367.155 |   23.006 |    4.051 |  0.55 |   2.934 |   2.934 |      0 |
 |        162 |     751871 |   -305.552 |   -367.435 |   18.590 |    4.029 |  0.54 |   3.121 |   3.121 |      0 |
 |        163 |     756541 |   -305.552 |   -368.636 |   15.805 |    4.001 |  0.53 |   3.469 |   3.469 |      0 |
 |        164 |     761211 |   -305.552 |   -376.548 |   20.057 |    3.969 |  0.54 |   2.032 |   2.032 |      0 |
 |        165 |     765881 |   -305.552 |   -376.624 |   17.936 |    3.944 |  0.54 |   0.583 |   0.583 |      0 |
 |        166 |     770551 |   -305.552 |   -373.285 |   16.541 |    3.917 |  0.53 |   1.996 |   1.996 |      0 |
 |        167 |     775221 |   -304.654 |   -365.416 |   17.399 |    3.888 |  0.53 |   2.905 |   2.905 |      0 |
 |        168 |     779891 |   -304.654 |   -364.197 |   17.405 |    3.860 |  0.53 |   0.564 |   0.564 |      0 |
 |        169 |     784561 |   -304.654 |   -368.887 |   20.061 |    3.833 |  0.54 |   1.969 |   1.969 |      0 |
 |        170 |     789231 |   -304.654 |   -362.595 |   17.635 |    3.810 |  0.54 |   3.923 |   3.923 |      0 |
 |        171 |     793901 |   -304.654 |   -360.482 |   15.754 |    3.784 |  0.52 |   1.611 |   1.611 |      0 |
 |        172 |     798571 |   -304.654 |   -370.810 |   16.223 |    3.755 |  0.53 |   2.485 |   2.485 |      0 |
 |        173 |     803241 |   -304.654 |   -363.541 |   16.049 |    3.728 |  0.53 |   2.883 |   2.883 |      0 |
 |        174 |     807911 |   -304.654 |   -361.921 |   13.679 |    3.701 |  0.53 |   3.943 |   3.943 |      0 |
 |        175 |     812581 |   -304.654 |   -362.276 |   16.920 |    3.669 |  0.51 |   2.320 |   2.320 |      0 |
 |        176 |     817251 |   -304.654 |   -357.993 |   17.332 |    3.644 |  0.52 |   0.763 |   0.763 |      0 |
 |        177 |     821921 |   -293.107 |   -357.002 |   20.804 |    3.620 |  0.53 |   1.590 |   1.590 |      0 |
 |        178 |     826591 |   -293.107 |   -359.249 |   21.334 |    3.600 |  0.53 |   2.214 |   2.214 |      0 |
 |        179 |     831261 |   -293.107 |   -354.726 |   14.794 |    3.581 |  0.52 |   1.448 |   1.448 |      0 |
 |        180 |     835931 |   -293.107 |   -357.163 |   15.785 |    3.554 |  0.51 |   3.214 |   3.214 |      0 |
 |        181 |     840601 |   -293.107 |   -365.895 |   21.552 |    3.528 |  0.50 |   3.403 |   3.403 |      0 |
 |        182 |     845271 |   -293.107 |   -360.474 |   21.715 |    3.510 |  0.51 |   3.981 |   3.981 |      0 |
 |        183 |     849941 |   -293.107 |   -359.692 |   13.585 |    3.492 |  0.52 |   0.819 |   0.819 |      0 |
 |        184 |     854611 |   -293.107 |   -358.847 |   19.607 |    3.464 |  0.52 |   1.754 |   1.754 |      0 |
 |        185 |     859281 |   -293.107 |   -351.443 |   20.921 |    3.444 |  0.51 |   0.829 |   0.829 |      0 |
 |        186 |     863951 |   -293.107 |   -359.247 |   16.773 |    3.427 |  0.51 |   1.716 |   1.716 |      0 |
 |        187 |     868621 |   -293.107 |   -357.645 |   17.966 |    3.404 |  0.49 |   1.245 |   1.245 |      0 |
 |        188 |     873291 |   -293.107 |   -348.883 |   19.698 |    3.384 |  0.52 |   3.181 |   3.181 |      0 |
 |        189 |     877961 |   -293.107 |   -360.111 |   19.047 |    3.366 |  0.52 |   3.404 |   3.404 |      0 |
 |        190 |     882631 |   -293.107 |   -360.005 |   18.230 |    3.347 |  0.50 |   0.398 |   0.398 |      0 |
