Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:51:52 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV5235         0.1628 %
TV5236         0.5895 %
TV5241         0.1314 %
TV5243         0.0548 %
TV5245         0.0882 %
TV5246         0.1684 %
TV5248         0.6928 %
TV5251         0.5014 %
TV5253         0.0576 %
TV5255         0.5110 %
TV5256         0.1615 %
TV5258         0.2513 %
TV5259         0.1955 %
TV5260         0.0579 %
TV5277         0.3950 %
TV5280         0.1597 %
TV5286         0.3324 %
TV5300         0.1790 %
TV5311         0.6236 %

TOTAL: 114

*** Locus 10 ***

TV2068         0.0771 %
TV2257         0.0712 %
TV2281         0.0811 %
TV2290         0.0562 %
TV2293         0.2555 %
TV2757         0.0602 %
TV2762         0.5443 %
TV2789         0.0980 %
TV2792         0.1301 %
TV2796         0.1404 %
TV3016         0.0696 %
TV3023         0.0857 %
TV3035         0.1366 %
TV3050         0.1157 %
TV3051         0.2020 %
TV3222         0.5416 %
TV3223         0.5476 %
TV3237         0.2489 %
TV3239         0.0757 %
TV3244         0.2587 %
TV4251         0.8062 %
TV4252         0.7919 %
TV4257         0.0518 %
TV4266         0.2028 %
TV4273         0.2060 %
TV4274         0.0808 %
TV4275         0.1297 %
TV4288         0.9234 %
TV4290         0.3803 %
TV4292         0.0949 %
TV4296         0.1568 %
TV4301         0.0917 %
TV4305         0.0883 %
TV4314         0.4031 %
TV4502         0.1856 %
TV4506         0.1490 %
TV4507         0.2970 %
TV4509         0.4942 %
TV4530         0.2348 %
TV4540         0.1080 %
TV4546         0.0586 %
TV4550         0.7629 %
TV4552         0.1637 %
TV4555         0.1695 %
TV4556         0.1034 %
TV4566         0.1183 %
TV4567         0.2881 %
TV4755         0.0621 %
TV4762         0.2220 %
TV4791         0.4487 %
TV4800         0.1272 %
TV4807         0.1516 %
TV4819         0.3382 %
TV4822         0.0518 %
TV4823         0.9643 %
TV4828         0.2245 %
TV4830         0.3157 %
TV4837         0.2676 %
TV5001         0.1026 %
TV5076         0.1006 %
TV5083         0.0690 %
TV5117         0.6808 %
TV5119         0.2664 %
TV5120         0.9313 %
TV5123         0.0699 %
TV5128         0.4177 %
TV5138         0.2213 %
TV5221         0.0576 %
TV5227         0.4110 %
TV5241         0.4667 %
TV5251         0.2843 %
TV5254         0.5834 %
TV5269         0.5726 %
TV5280         0.2859 %
TV5304         0.3419 %
TV5305         0.2791 %
TV5306         0.0528 %
TV5310         0.5387 %

TOTAL: 78

