Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4531,10,TV5221,7,,,8.795620E+00,0.4784,10,0,338,338,8.795620E+00,,<
TV4532,7,TV4533,10,TV4533,10,2.966934E+01,0.3540,7,0,311,311,1.632150E+01,1.632150E+01
TV4533,10,TV4532,7,TV4532,7,2.966934E+01,0.6356,10,0,338,338,1.632150E+01,1.632150E+01,<
TV4535,6,,,,,0.000000E+00,0.9320,6,0,240,240,,,<
TV4536,10,TV5304,10,,,7.800207E+00,0.7318,10,2,338,338,7.800207E+00,,<
TV4537,10,,,,,0.000000E+00,0.9493,10,0,338,338,,,<
TV4539,10,,,,,0.000000E+00,0.7998,10,0,338,338,,,<
TV4540,9,,,,,0.000000E+00,0.7780,9,0,330,330,,,<
TV4542,10,,,,,0.000000E+00,0.7604,10,0,338,338,,,<
TV4543,9,,,,,0.000000E+00,0.8550,10,0,331,331,,,<
TV4544,10,,,,,0.000000E+00,0.4552,10,0,338,338,,
TV4545,10,TV4547,10,,,9.833480E+00,0.5766,10,1,338,338,9.833480E+00,,<
TV4546,10,TV4532,7,TV4304,10,2.540082E+01,0.6460,10,1,338,338,1.424965E+01,8.439678E+00,<
TV4547,10,TV4545,10,,,9.833480E+00,0.3695,10,1,338,338,9.833480E+00,
TV4548,10,,,,,0.000000E+00,0.9999,10,0,338,338,,,<
TV4549,10,TV4551,9,TV4532,7,1.135429E+01,0.5651,10,2,338,338,8.790622E-01,4.963605E+00
TV4550,10,TV4552,10,TV2796,6,1.228875E+01,0.6019,10,2,338,338,5.931039E+00,-2.121180E+00,<
TV4551,9,,,,,0.000000E+00,0.6757,9,0,330,330,,,<
TV4552,10,,,,,0.000000E+00,0.8333,10,0,338,338,,,<
TV4553,10,TV4554,10,,,8.477072E+00,0.5232,10,2,338,338,8.477072E+00,
TV4554,10,,,,,0.000000E+00,0.5032,10,0,338,338,,
TV4555,10,,,,,0.000000E+00,0.8305,10,0,338,338,,,<
TV4556,9,,,,,0.000000E+00,0.3170,10,0,336,336,,
TV4557,10,,,,,0.000000E+00,0.9753,10,0,338,338,,,<
TV4558,10,TV5257,10,,,1.153594E+01,0.6864,10,1,338,338,1.153594E+01,,<
TV4559,10,,,,,0.000000E+00,0.4958,10,0,338,338,,
TV4560,10,,,,,0.000000E+00,0.4851,10,0,338,338,,
TV4561,8,,,,,0.000000E+00,0.9591,8,0,310,310,,,<
TV4562,10,,,,,0.000000E+00,0.9993,10,0,338,338,,,<
TV4563,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
