Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3236,9,,,,,0.000000E+00,0.9974,10,0,332,332,,,<
TV3237,10,,,,,0.000000E+00,0.9796,10,0,338,338,,,<
TV3238,10,,,,,0.000000E+00,0.9878,10,0,338,338,,,<
TV3239,10,,,,,0.000000E+00,0.9948,10,0,338,338,,,<
TV3240,10,,,,,0.000000E+00,0.4832,10,0,338,338,,,<
TV3241,9,,,,,0.000000E+00,0.9999,9,0,331,331,,,<
TV3243,9,,,,,0.000000E+00,0.9319,10,0,336,336,,,<
TV3244,10,,,,,0.000000E+00,0.9846,10,0,338,338,,,<
TV3245,10,,,,,0.000000E+00,0.9997,10,0,338,338,,,<
TV4251,10,,,,,0.000000E+00,0.7091,10,0,338,338,,,<
TV4252,9,TV5139,9,,,1.857452E+01,0.5788,9,0,336,336,1.857452E+01,
TV4253,6,TV4546,10,,,8.934555E+00,0.5643,6,0,274,274,8.934555E+00,
TV4254,9,TV5138,9,,,1.160131E+01,0.4869,10,1,336,336,1.160131E+01,
TV4255,10,TV5257,10,,,9.710897E+00,0.3605,10,1,338,338,9.710897E+00,
TV4256,10,TV5139,9,,,1.371764E+01,0.5654,10,0,338,338,1.371764E+01,,<
TV4257,10,,,,,0.000000E+00,0.9958,10,0,338,338,,,<
TV4258,9,,,,,0.000000E+00,0.7932,9,0,330,330,,,<
TV4259,9,,,,,0.000000E+00,0.6541,10,0,336,336,,,<
TV4260,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4261,10,TV4272,10,,,1.068747E+01,0.3662,10,1,338,338,1.068747E+01,
TV4262,9,TV4261,10,,,1.484262E+01,0.7606,10,0,332,332,1.484262E+01,
TV4263,10,,,,,0.000000E+00,0.9977,10,0,338,338,,,<
TV4264,10,,,,,0.000000E+00,0.9981,10,0,338,338,,,<
TV4265,10,TV4292,10,,,1.470107E+01,0.4829,10,0,338,338,1.470107E+01,
TV4266,10,TV4826,9,,,1.428372E+01,0.6551,10,0,338,338,1.428372E+01,,<
TV4267,10,,,,,0.000000E+00,0.6844,10,0,338,338,,,<
TV4268,10,,,,,0.000000E+00,0.9917,10,0,338,338,,,<
TV4269,9,,,,,0.000000E+00,0.9869,9,0,332,332,,,<
TV4270,10,,,,,0.000000E+00,0.9999,10,0,338,338,,,<
TV4271,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4272,10,TV4261,10,,,1.068747E+01,0.5294,10,1,338,338,1.068747E+01,,<
TV4273,10,,,,,0.000000E+00,0.5681,10,0,338,338,,,<
TV4274,10,,,,,0.000000E+00,0.9789,10,0,338,338,,,<
TV4275,9,,,,,0.000000E+00,0.9470,9,0,330,330,,,<
TV4276,10,,,,,0.000000E+00,0.9980,10,0,338,338,,,<
TV4277,9,,,,,0.000000E+00,0.8663,10,0,336,336,,,<
TV4278,8,TV4546,10,,,9.123647E+00,0.5855,8,1,311,311,9.123647E+00,
TV4279,9,,,,,0.000000E+00,0.9966,10,0,335,335,,,<
TV4280,10,,,,,0.000000E+00,0.9902,10,0,338,338,,,<
TV4281,10,,,,,0.000000E+00,0.9974,10,0,338,338,,,<
TV4282,10,,,,,0.000000E+00,0.7751,10,0,338,338,,,<
TV4283,9,,,,,0.000000E+00,0.9940,10,0,336,336,,,<
TV4284,9,TV4287,10,,,9.838911E+00,0.6052,9,1,336,336,9.838911E+00,
TV4285,7,,,,,0.000000E+00,0.9146,8,0,301,301,,,<
TV4286,10,TV4287,10,,,1.289159E+01,0.6177,10,1,338,338,1.289159E+01,
TV4287,10,TV4286,10,,,1.289159E+01,0.3653,10,1,338,338,1.289159E+01,,<
TV4288,10,,,,,0.000000E+00,0.9259,10,0,338,338,,,<
TV4289,9,TV4293,9,,,1.469057E+01,0.5185,10,0,336,336,1.469057E+01,
TV4290,9,,,,,0.000000E+00,0.5006,10,0,336,336,,,<
TV4291,9,,,,,0.000000E+00,0.7135,10,0,336,336,,,<
TV4292,10,TV4265,10,,,1.470107E+01,0.5157,10,0,338,338,1.470107E+01,,<
TV4293,9,,,,,0.000000E+00,0.4812,10,0,336,336,,
TV4294,9,TV4295,8,TV4295,8,3.348755E+01,0.6196,10,0,336,336,1.831962E+01,1.831962E+01
TV4295,8,,,,,0.000000E+00,0.6185,8,0,311,311,,
TV4296,10,,,,,0.000000E+00,0.9907,10,0,338,338,,,<
TV4297,9,,,,,0.000000E+00,0.9992,10,0,332,332,,,<
TV4298,9,,,,,0.000000E+00,0.9613,9,0,332,332,,,<
TV4299,10,,,,,0.000000E+00,0.6066,10,0,338,338,,,<
TV4300,9,,,,,0.000000E+00,0.7717,9,0,336,336,,,<
TV4301,9,,,,,0.000000E+00,0.7835,10,0,336,336,,,<
TV4302,10,,,,,0.000000E+00,0.8295,10,0,338,338,,,<
TV4303,10,,,,,0.000000E+00,0.9449,10,0,338,338,,,<
TV4304,10,,,,,0.000000E+00,0.8816,10,0,338,338,,,<
TV4305,9,,,,,0.000000E+00,0.7454,10,0,336,336,,,<
TV4306,9,,,,,0.000000E+00,0.9737,10,0,336,336,,,<
TV4307,10,TV5237,10,,,1.282264E+01,0.8677,10,0,338,338,1.282264E+01,,<
TV4308,10,,,,,0.000000E+00,0.5694,10,0,338,338,,,<
TV4309,9,,,,,0.000000E+00,0.9701,10,0,336,336,,,<
TV4310,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4311,9,,,,,0.000000E+00,0.9938,10,0,332,332,,,<
TV4312,10,,,,,0.000000E+00,0.5112,10,0,338,338,,,<
TV4313,10,,,,,0.000000E+00,0.9998,10,0,338,338,,,<
TV4314,10,,,,,0.000000E+00,0.8483,10,0,338,338,,,<
TV4315,7,,,,,0.000000E+00,0.9095,7,0,309,309,,,<
TV4316,10,TV5255,10,TV4317,10,2.160784E+01,0.8841,10,2,338,338,1.055212E+01,6.048764E+00,<
TV4317,10,,,,,0.000000E+00,0.9885,10,0,338,338,,,<
TV4318,10,,,,,0.000000E+00,0.8409,10,0,338,338,,,<
TV4319,10,,,,,0.000000E+00,0.8665,10,0,338,338,,,<
TV4320,9,,,,,0.000000E+00,0.7913,10,0,331,331,,,<
TV4321,8,,,,,0.000000E+00,0.9996,9,0,317,317,,,<
TV4322,7,,,,,0.000000E+00,0.8392,7,0,309,309,,,<
TV4501,9,,,,,0.000000E+00,0.8376,9,0,332,332,,,<
TV4502,10,,,,,0.000000E+00,0.8073,10,0,338,338,,,<
TV4503,10,,,,,0.000000E+00,0.9559,10,0,338,338,,,<
TV4504,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4505,10,,,,,0.000000E+00,0.9643,10,0,338,338,,,<
TV4506,9,,,,,0.000000E+00,0.8840,9,0,330,330,,,<
TV4507,10,,,,,0.000000E+00,0.9975,10,0,338,338,,,<
TV4508,9,,,,,0.000000E+00,0.9761,10,0,336,336,,,<
TV4509,10,,,,,0.000000E+00,0.8622,10,0,338,338,,,<
TV4510,9,,,,,0.000000E+00,0.9982,9,0,330,330,,,<
TV4511,10,,,,,0.000000E+00,0.9865,10,0,338,338,,,<
TV4512,9,,,,,0.000000E+00,0.9943,9,0,332,332,,,<
TV4513,10,,,,,0.000000E+00,0.5929,10,0,338,338,,,<
TV4514,10,,,,,0.000000E+00,0.7727,10,0,338,338,,,<
TV4516,10,,,,,0.000000E+00,0.8663,10,0,338,338,,,<
TV4517,10,,,,,0.000000E+00,0.4853,10,0,338,338,,
TV4518,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4519,9,,,,,0.000000E+00,0.8171,9,0,332,332,,,<
TV4520,9,,,,,0.000000E+00,0.9975,10,0,332,332,,,<
TV4521,10,TV4525,9,,,2.089719E+01,0.6292,10,0,338,338,2.089719E+01,,<
TV4522,9,,,,,0.000000E+00,0.9781,10,0,332,332,,,<
TV4523,10,,,,,0.000000E+00,0.9784,10,0,338,338,,,<
TV4524,10,,,,,0.000000E+00,0.9371,10,0,338,338,,,<
TV4525,9,TV5131,10,,,1.917231E+01,0.3195,9,0,332,332,1.917231E+01,
TV4526,9,,,,,0.000000E+00,0.9822,10,0,335,335,,,<
TV4528,10,,,,,0.000000E+00,0.5885,10,0,338,338,,,<
TV4529,10,,,,,0.000000E+00,0.9537,10,0,338,338,,,<
TV4530,10,,,,,0.000000E+00,0.8434,10,0,338,338,,,<
TV4531,10,,,,,0.000000E+00,0.6141,10,0,338,338,,,<
TV4532,7,TV4533,10,TV4533,10,2.966934E+01,0.4625,7,0,311,311,1.632150E+01,1.632150E+01
TV4533,10,TV4532,7,TV4532,7,2.966934E+01,0.5070,10,0,338,338,1.632150E+01,1.632150E+01,<
TV4535,6,,,,,0.000000E+00,0.9973,6,0,240,240,,,<
TV4536,10,,,,,0.000000E+00,0.7135,10,0,338,338,,,<
TV4537,10,,,,,0.000000E+00,0.9799,10,0,338,338,,,<
TV4539,10,,,,,0.000000E+00,0.9887,10,0,338,338,,,<
TV4540,9,,,,,0.000000E+00,0.9933,9,0,330,330,,,<
TV4542,10,,,,,0.000000E+00,0.9839,10,0,338,338,,,<
TV4543,9,,,,,0.000000E+00,0.9950,10,0,331,331,,,<
TV4544,10,,,,,0.000000E+00,0.9499,10,0,338,338,,,<
TV4545,10,,,,,0.000000E+00,0.4810,10,0,338,338,,,<
TV4546,10,TV4532,7,TV4304,10,2.540082E+01,0.6500,10,1,338,338,1.424965E+01,8.439678E+00,<
TV4547,10,,,,,0.000000E+00,0.4756,10,0,338,338,,,<
TV4548,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4549,10,,,,,0.000000E+00,0.9614,10,0,338,338,,,<
TV4550,10,,,,,0.000000E+00,0.9223,10,0,338,338,,,<
TV4551,9,,,,,0.000000E+00,0.9801,9,0,330,330,,,<
TV4552,10,,,,,0.000000E+00,0.9322,10,0,338,338,,,<
TV4553,10,,,,,0.000000E+00,0.6693,10,0,338,338,,,<
TV4554,10,,,,,0.000000E+00,0.6565,10,0,338,338,,,<
TV4555,10,,,,,0.000000E+00,0.9926,10,0,338,338,,,<
TV4556,9,,,,,0.000000E+00,0.9434,10,0,336,336,,,<
TV4557,10,,,,,0.000000E+00,0.9997,10,0,338,338,,,<
TV4558,10,TV5257,10,,,1.153594E+01,0.5543,10,1,338,338,1.153594E+01,,<
TV4559,10,,,,,0.000000E+00,0.9217,10,0,338,338,,,<
TV4560,10,,,,,0.000000E+00,0.9272,10,0,338,338,,,<
TV4561,8,,,,,0.000000E+00,0.9996,8,0,310,310,,,<
TV4562,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4563,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4564,10,,,,,0.000000E+00,0.9961,10,0,338,338,,,<
TV4565,10,,,,,0.000000E+00,0.9986,10,0,338,338,,,<
TV4566,10,,,,,0.000000E+00,0.8672,10,0,338,338,,,<
TV4567,10,,,,,0.000000E+00,0.9920,10,0,338,338,,,<
TV4568,10,,,,,0.000000E+00,0.9964,10,0,338,338,,,<
TV4569,10,,,,,0.000000E+00,0.9566,10,0,338,338,,,<
TV4570,9,,,,,0.000000E+00,0.9991,9,0,332,332,,,<
TV4571,10,,,,,0.000000E+00,0.9593,10,0,338,338,,,<
TV4572,10,,,,,0.000000E+00,0.9993,10,0,338,338,,,<
TV4573,10,,,,,0.000000E+00,0.9983,10,0,338,338,,,<
TV4751,10,,,,,0.000000E+00,0.9956,10,0,338,338,,,<
TV4752,10,TV3228,10,,,1.246562E+01,0.6890,10,1,338,338,1.246562E+01,,<
TV4753,9,TV3228,10,,,1.034057E+01,0.6380,9,1,330,330,1.034057E+01,
TV4754,10,TV4827,9,TV4755,10,1.893137E+01,0.7295,10,2,338,338,4.401581E+00,8.495301E+00
TV4755,10,,,,,0.000000E+00,0.5782,10,0,338,338,,,<
TV4756,9,,,,,0.000000E+00,0.9968,9,0,332,332,,,<
TV4757,10,,,,,0.000000E+00,0.3962,10,0,338,338,,,<
TV4758,10,,,,,0.000000E+00,0.5362,10,0,338,338,,,<
TV4759,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4760,10,TV4813,9,,,1.030468E+01,0.5794,10,0,338,338,1.030468E+01,,<
TV4761,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4762,9,,,,,0.000000E+00,0.9879,9,0,330,330,,,<
TV4763,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4764,10,,,,,0.000000E+00,0.9983,10,0,338,338,,,<
TV4765,10,,,,,0.000000E+00,0.9919,10,0,338,338,,,<
