Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4315,7,,,,,0.000000E+00,0.7398,7,0,309,309,,,<
TV4316,10,TV5255,10,TV4317,10,2.160784E+01,0.9554,10,2,338,338,1.055212E+01,6.048764E+00,<
TV4317,10,,,,,0.000000E+00,0.9827,10,0,338,338,,,<
TV4318,10,TV4322,7,TV4315,7,1.335187E+01,0.3921,10,1,338,338,5.602564E+00,6.325251E+00,<
TV4319,10,,,,,0.000000E+00,0.4562,10,0,338,338,,
TV4320,9,,,,,0.000000E+00,0.5127,10,0,331,331,,
TV4321,8,,,,,0.000000E+00,0.9890,9,0,317,317,,,<
TV4322,7,,,,,0.000000E+00,0.3993,7,0,309,309,,,<
TV4501,9,,,,,0.000000E+00,0.8440,9,0,332,332,,,<
TV4502,10,,,,,0.000000E+00,0.4896,10,0,338,338,,,<
TV4503,10,,,,,0.000000E+00,0.7984,10,0,338,338,,,<
TV4504,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4505,10,,,,,0.000000E+00,0.7014,10,0,338,338,,,<
TV4506,9,,,,,0.000000E+00,0.4148,9,0,330,330,,,<
TV4507,10,,,,,0.000000E+00,0.8951,10,0,338,338,,,<
TV4508,9,,,,,0.000000E+00,0.7775,10,0,336,336,,,<
TV4509,10,,,,,0.000000E+00,0.5625,10,0,338,338,,
TV4510,9,,,,,0.000000E+00,0.9655,9,0,330,330,,,<
TV4511,10,,,,,0.000000E+00,0.8447,10,0,338,338,,,<
TV4512,9,,,,,0.000000E+00,0.9488,9,0,332,332,,,<
TV4513,10,TV5129,7,,,8.094721E+00,0.3462,10,0,338,338,8.094721E+00,,<
TV4514,10,TV4513,10,,,7.484798E+00,0.5462,10,1,338,338,7.484798E+00,,<
TV4516,10,TV4517,10,,,6.537436E+00,0.4966,10,2,338,338,6.537436E+00,,<
TV4517,10,TV5124,10,,,1.038408E+01,0.4705,10,1,338,338,1.038408E+01,
TV4518,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4519,9,,,,,0.000000E+00,0.3887,9,0,332,332,,,<
TV4520,9,,,,,0.000000E+00,0.9739,10,0,332,332,,,<
TV4521,10,,,,,0.000000E+00,0.6526,10,0,338,338,,,<
TV4522,9,,,,,0.000000E+00,0.5018,10,0,332,332,,,<
TV4523,10,,,,,0.000000E+00,0.7842,10,0,338,338,,,<
TV4524,10,TV5128,10,TV4300,9,1.343307E+01,0.7228,10,3,338,338,3.038732E+00,5.434107E+00,<
TV4525,9,TV4532,7,TV4521,10,2.803725E+01,0.4807,9,1,332,332,4.181867E+00,2.089719E+01,<
TV4526,9,,,,,0.000000E+00,0.8068,10,0,335,335,,,<
TV4528,10,TV4308,10,,,9.294596E+00,0.5246,10,1,338,338,9.294596E+00,
TV4529,10,,,,,0.000000E+00,0.6093,10,0,338,338,,,<
TV4530,10,,,,,0.000000E+00,0.4153,10,0,338,338,,
TV4531,10,TV5221,7,,,8.795620E+00,0.5055,10,0,338,338,8.795620E+00,,<
TV4532,7,,,,,0.000000E+00,0.3298,7,0,311,311,,,<
TV4533,10,TV4546,10,TV4532,7,2.514859E+01,0.7342,10,1,338,338,1.249492E+01,1.632150E+01,<
TV4535,6,,,,,0.000000E+00,0.9612,6,0,240,240,,,<
TV4536,10,TV5304,10,,,7.800207E+00,0.6007,10,2,338,338,7.800207E+00,,<
TV4537,10,,,,,0.000000E+00,0.9296,10,0,338,338,,,<
TV4539,10,,,,,0.000000E+00,0.8921,10,0,338,338,,,<
TV4540,9,,,,,0.000000E+00,0.8902,9,0,330,330,,,<
TV4542,10,,,,,0.000000E+00,0.8654,10,0,338,338,,,<
TV4543,9,,,,,0.000000E+00,0.9388,10,0,331,331,,,<
TV4544,10,,,,,0.000000E+00,0.6530,10,0,338,338,,,<
TV4545,10,TV4547,10,,,9.833480E+00,0.5759,10,1,338,338,9.833480E+00,,<
TV4546,10,TV4532,7,TV4304,10,2.540082E+01,0.5452,10,1,338,338,1.424965E+01,8.439678E+00,<
TV4547,10,TV4545,10,,,9.833480E+00,0.3851,10,1,338,338,9.833480E+00,
TV4548,10,,,,,0.000000E+00,0.9993,10,0,338,338,,,<
TV4549,10,,,,,0.000000E+00,0.5252,10,0,338,338,,,<
TV4550,10,,,,,0.000000E+00,0.4362,10,0,338,338,,
