Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4540,9,,,,,0.000000E+00,0.8808,9,0,330,330,,,<
TV4542,10,,,,,0.000000E+00,0.8577,10,0,338,338,,,<
TV4543,9,,,,,0.000000E+00,0.9323,10,0,331,331,,,<
TV4544,10,,,,,0.000000E+00,0.6549,10,0,338,338,,,<
TV4545,10,TV4547,10,,,9.833480E+00,0.5827,10,1,338,338,9.833480E+00,
TV4546,10,TV4532,7,TV4304,10,2.540082E+01,0.6184,10,1,338,338,1.424965E+01,8.439678E+00,<
TV4547,10,TV4545,10,,,9.833480E+00,0.3735,10,1,338,338,9.833480E+00,,<
TV4548,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4549,10,,,,,0.000000E+00,0.5269,10,0,338,338,,,<
TV4550,10,,,,,0.000000E+00,0.4334,10,0,338,338,,
TV4551,9,,,,,0.000000E+00,0.8087,9,0,330,330,,,<
TV4552,10,,,,,0.000000E+00,0.7700,10,0,338,338,,,<
TV4553,10,,,,,0.000000E+00,0.5146,10,0,338,338,,
TV4554,10,,,,,0.000000E+00,0.5036,10,0,338,338,,,<
TV4555,10,,,,,0.000000E+00,0.9060,10,0,338,338,,,<
TV4556,9,,,,,0.000000E+00,0.5219,10,0,336,336,,,<
TV4557,10,,,,,0.000000E+00,0.9881,10,0,338,338,,,<
TV4558,10,TV5257,10,,,1.153594E+01,0.6331,10,1,338,338,1.153594E+01,,<
TV4559,10,,,,,0.000000E+00,0.6123,10,0,338,338,,
TV4560,10,,,,,0.000000E+00,0.5974,10,0,338,338,,
TV4561,8,,,,,0.000000E+00,0.9823,8,0,310,310,,,<
TV4562,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4563,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4564,10,,,,,0.000000E+00,0.9592,10,0,338,338,,,<
TV4565,10,,,,,0.000000E+00,0.9852,10,0,338,338,,,<
TV4566,10,,,,,0.000000E+00,0.4851,10,0,338,338,,
TV4567,10,,,,,0.000000E+00,0.8850,10,0,338,338,,,<
TV4568,10,,,,,0.000000E+00,0.9458,10,0,338,338,,,<
TV4569,10,,,,,0.000000E+00,0.6663,10,0,338,338,,,<
TV4570,9,,,,,0.000000E+00,0.9880,9,0,332,332,,,<
TV4571,10,,,,,0.000000E+00,0.7422,10,0,338,338,,,<
