Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr 12 15:47:27 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV3051         0.1162 %
TV3222         0.4913 %
TV3223         0.5310 %
TV3237         0.1635 %
TV3244         0.1749 %
TV4251         0.7444 %
TV4252         0.6814 %
TV4265         0.0519 %
TV4266         0.1277 %
TV4272         0.1074 %
TV4273         0.1194 %
TV4275         0.1014 %
TV4288         0.8122 %
TV4290         0.2295 %
TV4292         0.5438 %
TV4296         0.0700 %
TV4305         0.1041 %
TV4314         0.3849 %
TV4502         0.0872 %
TV4506         0.1161 %
TV4507         0.0985 %
TV4509         0.4307 %
TV4530         0.1621 %
TV4540         0.0586 %
TV4550         0.5666 %
TV4552         0.2290 %
TV4555         0.0940 %
TV4556         0.1057 %
TV4567         0.1104 %
TV4762         0.1297 %
TV4791         0.4668 %
TV4800         0.0658 %
TV4807         0.1868 %
TV4819         0.2250 %
TV4823         0.9578 %
TV4828         0.1722 %
TV4830         0.3682 %
TV4837         0.1475 %
TV5001         0.0539 %
TV5076         0.0524 %
TV5117         0.5894 %
TV5119         0.3218 %
TV5120         0.8902 %
TV5128         0.2661 %
TV5227         0.3670 %
TV5241         0.4053 %
TV5251         0.2401 %
TV5254         0.4129 %
TV5255         0.0729 %
TV5269         0.4103 %
TV5280         0.1880 %
TV5304         0.2308 %
TV5305         0.1612 %
TV5310         0.5104 %

TOTAL: 60

