Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:59:36 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4505         0.2860 %
TV4546         0.2206 %
TV4555         0.0918 %
TV4752         0.7571 %
TV4757         0.5366 %
TV4758         0.0673 %
TV4760         0.1049 %
TV4769         0.9235 %
TV4774         0.6723 %
TV4784         0.0612 %
TV4795         0.1413 %
TV4797         0.4030 %
TV4802         0.0595 %
TV4803         0.0528 %
TV4819         0.2159 %
TV4822         0.1674 %
TV4828         0.1711 %
TV5057         0.1405 %
TV5063         0.1177 %
TV5077         0.2202 %
TV5124         0.1446 %
TV5128         0.0740 %
TV5185         0.0716 %
TV5199         0.0523 %
TV5234         0.0525 %
TV5235         0.1447 %
TV5245         0.0530 %
TV5259         0.1081 %
TV5280         0.0834 %
TV5286         0.2062 %
TV5311         0.7002 %
TV2003         0.2830 %
TV2026         0.2147 %
TV2053         0.2787 %
TV2062         0.4274 %
TV2257         0.0515 %
TV2285         0.2873 %
TV2504         0.1909 %
TV2774         0.2353 %
TV2788         0.5577 %
TV2810         0.4526 %
TV3022         0.4024 %
TV3211         0.1646 %
TV3231         0.1735 %
TV4523         0.2103 %
TV4779         0.6193 %
TV5041         0.1206 %
TV5065         0.0706 %
TV5112         0.0646 %
TV5241         0.0556 %
TV2055         0.4084 %
TV2090         0.0697 %
TV3223         0.0565 %
TV3224         0.1007 %
TV3238         0.0920 %
TV4261         0.1336 %
TV4265         0.2531 %
TV4278         0.7458 %
TV4287         0.1901 %
TV4293         0.2202 %
TV4309         0.2171 %
TV4522         0.0985 %
TV4539         0.1045 %
TV4567         0.1372 %
TV4837         0.1413 %
TV5131         0.0532 %
TV5180         0.1119 %
TV5205         0.3243 %
TV5215         0.1429 %
TV5217         0.3484 %
TV5220         0.4816 %
TV5225         0.4869 %
TV5236         0.4272 %
TV5246         0.0669 %
TV5248         0.6027 %
TV5251         0.4658 %
TV5255         0.5343 %
TV5258         0.1042 %
TV5277         0.3280 %
TV5300         0.1235 %

TOTAL: 96

*** Locus 10 ***

TV2762         0.3632 %
TV3237         0.1469 %
TV3244         0.1561 %
TV4266         0.5975 %
TV4288         0.7675 %
TV4290         0.2533 %
TV4314         0.3703 %
TV4502         0.0877 %
TV4546         0.0631 %
TV4555         0.0918 %
TV4757         0.0519 %
TV4791         0.4633 %
TV4800         0.0703 %
TV4807         0.1625 %
TV4819         0.2149 %
TV4823         0.9608 %
TV4828         0.1867 %
TV4830         0.3944 %
TV5001         0.0510 %
TV5117         0.5960 %
TV5119         0.3125 %
TV5128         0.2617 %
TV5227         0.3913 %
TV5280         0.2064 %
TV2293         0.1568 %
TV2792         0.0532 %
TV2796         0.0763 %
TV3035         0.0571 %
TV3050         0.0538 %
TV3051         0.1305 %
TV5120         0.8745 %
TV5241         0.3708 %
TV3222         0.4995 %
TV3223         0.5223 %
TV4251         0.7387 %
TV4252         0.7148 %
TV4272         0.1258 %
TV4273         0.1303 %
TV4275         0.0907 %
TV4292         0.5018 %
TV4296         0.0589 %
TV4305         0.0870 %
TV4506         0.1158 %
TV4507         0.0884 %
TV4509         0.4472 %
TV4530         0.1666 %
TV4550         0.5665 %
TV4552         0.2209 %
TV4556         0.1169 %
TV4567         0.1334 %
TV4762         0.1225 %
TV4837         0.1413 %
TV5153         0.1669 %
TV5225         0.3943 %
TV5251         0.2561 %
TV5254         0.4721 %
TV5255         0.0505 %
TV5269         0.4062 %
TV5304         0.2337 %
TV5305         0.1499 %
TV5310         0.5168 %

TOTAL: 61

